el/la internet,internet,N,m/f,,
la máscara,mask,N,f,,
el daño,damage,N,m,,
la tristeza,"tristeza, sadness, gloom, sorrow, gloominess, unhappiness, misery",N,f,,
la mala,"female equivalent of malo, feminine singular of malo",N,f,,
registrar,"<ul>  <li>to check in, register, record</li>  <li>to examine, inspect, search</li></ul>",V,,,
el/la rehén,hostage,N,m/f,,
la nena,"<ul>  <li>female equivalent of nene; baby girl</li>  <li>babe, dear (term of endearment to a woman or girl)</li></ul>",N,f,,
"magnífico, magnífica",magnificent,Adj,,,
la espera,wait,N,f,,
,Misspelling of samurái.,N,,,
la compañera,"female equivalent of compañero  fellow, companion;  comrade;  colleague",N,f,female,
la maldad,"badness; evilness, bad or evil deed",N,f,,
fácil,"<ul>  <li>easily, easy, facile, simple, easy-to-use, user-friendly</li>  <li>gullible, credulous, easy (being readily available for sex)</li></ul>",Adj,,slang,
amable,"kind, amiable, gracious, charming",Adj,,,
la patrulla,patrol,N,f,,
el genio,"temper, mood, genius",N,m,,
noble,noble,Adj,,,
manual,manual ,Adj,,handbook,
el cabello,hair ,N,m,,
la jovencita,<ul>  <li>female equivalent of jovencito; young lady</li>  <li>feminine singular of jovencito</li></ul>,N,f,,
el rostro, face (the front part of the head),N,m,anatomy,"cara, haz"
la lealtad,loyalty,N,f,,
el tigre,"<ul>  <li>tiger, angry or fierce person</li>  <li>an energic or expert male lover</li>  <li>jaguar, toilet, WC</li></ul>",N,m,,
la campaña,"countryside, base, campaign",N,f,,"campo, campiña"
aburrir,<ul>  <li>to be bored; become bored</li>  <li>to bore; tire</li></ul>,V,,transitive,
impresionar,to impress; to make an impression on,V,,,
barrer, to sweep,V,,transitive,
la tropa,"troop, crowd, flock, herd, army, troop",N,f,,
adolescente,"adolescent, adolescent, teenager",Adj,,,
"sincero, sincera","sincere, honest, first-person singular present indicative of sincerar",Adj,,,
la justicia,"righteousness, justice, the law",N,f,,
la administración,"administration, administering, administration",N,f,,
adorar,"to adore, to worship",V,,,
el reconocimiento,"recognition, reconnaissance",N,m,,
la solución,solution,N,f,,
el presidente,president,N,m,,
el análisis,"analysis, analysis",N,m,mathematics,
el porqué,a reason ,N,m,,
la teta,"<ul>  <li>boob , tit (slightly vulgar), breast</li>  <li>nipple</li></ul>",N,f,colloquial,"busto, chichi, lola, mama, pecho"
claramente,clearly,Adv,,,
la grasa,"<ul>  <li>fat or grease used in cooking</li>  <li>nutritional fat, feminine singular of graso</li></ul>",N,f,,
el estacionamiento,"parking, parking lot, car park",N,m,,
la elección,"choice, election",N,f,,
conversar," to talk, converse",V,,intransitive,"charlar, platicar, tertuliar"
helar,"to freeze, freeze, cool",V,,transitive,
la manera,way; manner,N,f,,
la medalla,medal,N,f,,
internar,"<ul>  <li>to immerse oneself in (e.g. a topic of study)</li>  <li>to commit or confine inside a place or institution</li>  <li>to enter (especially surreptitiously), intern; work as an intern</li>  <li>to send into (especially the interior of a country or region)</li></ul>",V,,"transitive, ~ en",
agarrar,"<ul>  <li>to grab or take hold of</li>  <li>to hold on, catch (an illness, feeling etc.)</li></ul>",V,,,
el aliento,breath,N,m,,
la biblia,bible ,N,f,,
la combinación,combination,N,f,,
alerta,"alert, vigilant, alarm, alertly",Adj,,,"listo, vigilante"
la autorización,authorization,N,f,,
talvez, Alternative form of tal vez,Adv,,,
el globo,"globe, lob, balloon",N,m,," vejiga,  chimbomba"
el cariño,"<ul>  <li>caress, affection, fondness, gift, dear, darling, honey, love</li>  <li>wistfulness</li></ul>",N,m,,"afecto, amistad, aprecio, estima, querencia"
compartir,"<ul>  <li>to share, pool, compartmentalize</li>  <li>to split, divide</li></ul>",V,,,
"físico, física","physical, physicist, physique",Adj,,,
"cretino, cretina","<ul>  <li>stupid, affected by cretinism; cretinous</li>  <li>a person affected by cretinism</li>  <li>an idiot</li></ul>",Adj,,,"estúpido, necio, idiota"
la hada,"fairy, one of the Fates",N,f,,
"guerrero, guerrera","warrior, bellicose, warlike",Adj,,,"bélico, belicoso"
"entero, entera","whole; entire, whole number, integer",Adj,,,
la residencia,"<ul>  <li>residence, old people's home, rest home, nursing home</li>  <li>residence, home</li></ul>",N,f,,
